countries,region,tfr,contraception,educationMale,educationFemale,lifeMale,lifeFemale,infantMortality,GDPperCapita,economicActivityMale,economicActivityFemale,illiteracyMale,illiteracyFemale
Dominica,America,-1,50,-1,-1,-1,-1,-1,2831,75,43,-1,-1
Dominican Republic,America,3,64,11,11,69,73,34,1508,83,43,18,18
East Timor,Asia,4,-1,-1,-1,47,48,135,-1,-1,-1,-1,-1
Ecuador,America,3,57,-1,-1,67,73,46,1565,80,48,8,12
Egypt,Africa,3,47,11,9,65,67,54,973,73,22,36,61
El Salvador,America,3,53,10,10,67,73,39,1660,80,41,27,30
Equatorial Guinea,Africa,6,-1,-1,-1,48,52,107,388,89,42,10,32
Eritrea,Africa,5,5,5,4,49,52,98,96,-1,-1,-1,-1
Estonia,Europe,1,70,12,13,64,75,12,2433,72,54,0,0
Ethiopia,Africa,7,4,-1,-1,48,52,107,96,85,58,55,75
Fiji,Oceania,3,40,-1,-1,71,75,20,2593,85,23,6,11
Finland,Europe,2,-1,15,16,73,80,5,24453,67,55,-1,-1
France,Europe,2,77,15,16,75,83,7,26444,63,48,-1,-1
French Guiana,America,-1,-1,-1,-1,-1,-1,22,23530,75,52,13,15
French Polynesia,Oceania,3,-1,-1,-1,70,75,10,19766,74,49,-1,-1
Gabon,Africa,5,-1,-1,-1,54,57,85,5007,-1,-1,26,47
Gambia,Africa,5,12,6,4,45,49,122,321,70,45,47,75
Gaza Strip,Asia,8,-1,-1,-1,66,69,37,-1,-1,-1,-1,-1
Georgia,Asia,2,17,10,10,69,77,23,343,75,58,0,1
Germany,Europe,1,75,15,15,73,80,6,29632,68,47,-1,-1
Ghana,Africa,5,20,-1,-1,56,60,73,397,-1,-1,24,47
Greece,Europe,1,-1,14,14,76,81,8,8684,65,36,2,5
Grenada,America,-1,54,-1,-1,-1,-1,14,2485,69,56,-1,-1
Guadeloupe,America,2,-1,-1,-1,72,79,8,9145,67,52,10,10
Guam,Oceania,3,-1,-1,-1,73,77,10,-1,84,60,1,1
Guatemala,America,5,31,-1,-1,65,70,40,1392,84,18,38,51
Guinea,Africa,7,2,-1,-1,46,47,124,442,80,45,50,78
Guinea Bissau,Africa,5,-1,-1,-1,42,45,132,131,-1,-1,32,58
Guyana,America,2,-1,9,10,61,68,58,726,81,39,1,3
Haiti,America,5,18,-1,-1,53,56,82,386,80,49,52,58
Honduras,America,4,47,-1,-1,68,72,35,697,86,35,27,27
Hong Kong,Asia,1,86,13,13,76,82,5,22898,76,48,4,12
Hungary,Europe,1,73,12,13,65,74,14,4325,61,43,1,1
Iceland,Europe,2,-1,-1,-1,77,81,5,26217,86,77,-1,-1
India,Asia,3,41,-1,-1,62,63,72,365,80,34,35,62
Indonesia,Asia,3,55,10,10,63,67,48,1019,85,51,10,22
Iran,Asia,5,65,-1,-1,69,70,39,1544,80,10,22,41
Iraq,Asia,5,14,9,7,61,64,95,11308,74,10,29,55
Ireland,Europe,2,-1,14,14,74,79,6,17419,68,41,-1,-1
Israel,Asia,3,-1,-1,-1,76,80,7,16738,62,46,2,7
Italy,Europe,1,-1,-1,-1,75,81,7,19121,62,35,1,2
Ivory Coast,Africa,5,11,-1,-1,50,52,86,736,89,42,50,70
Jamaica,America,2,62,11,11,72,77,12,1779,74,62,19,11
Japan,Asia,1,59,14,14,77,83,4,41718,78,50,-1,-1
Jordan,Asia,5,35,-1,-1,68,72,30,1228,73,13,7,21
Kazakhstan,Asia,2,59,-1,-1,63,73,34,995,79,63,0,1
Kenya,Africa,5,33,-1,-1,52,56,65,330,-1,-1,14,30
Kiribati,Oceania,4,37,-1,-1,58,63,65,654,84,68,-1,-1
Korea Dem Peoples Rep,Asia,2,62,-1,-1,69,75,22,271,-1,-1,-1,-1
Korea Republic of,Asia,2,79,15,14,69,76,9,9736,76,49,1,3
Kuwait,Asia,3,35,9,9,74,78,14,15757,80,34,18,25
Kyrgyzstan,Asia,3,31,-1,-1,63,72,39,331,75,60,0,1
Laos,Asia,7,19,8,6,52,55,86,359,-1,-1,31,56
Latvia,Europe,1,47,11,12,63,74,16,1764,70,52,0,0
Lebanon,Asia,3,-1,-1,-1,68,72,29,3114,-1,-1,5,10
Lesotho,Africa,5,23,8,9,57,60,72,486,-1,-1,19,38
Liberia,Africa,6,6,-1,-1,50,53,153,1124,-1,-1,46,78
Libya,Africa,6,40,-1,-1,64,68,56,5498,-1,-1,12,37
Liechtenstein,Europe,1,-1,-1,-1,66,73,-1,42416,-1,-1,-1,-1
Lithuania,Europe,2,59,-1,-1,65,76,13,1595,76,65,0,1
Luxembourg,Europe,2,-1,-1,-1,73,80,6,35109,66,37,-1,-1
Macau,Asia,2,-1,-1,-1,75,80,8,-1,81,56,5,15
Macedonia,Europe,2,-1,10,10,70,75,23,1660,67,43,-1,-1
Madagascar,Africa,6,17,-1,-1,57,60,77,215,-1,-1,-1,-1
Malawi,Africa,7,22,11,10,40,41,142,142,81,75,28,58
Malaysia,Asia,3,48,-1,-1,70,74,11,4313,77,42,11,22
Maldives,Asia,7,-1,-1,-1,66,63,49,1079,77,20,7,7
Mali,Africa,7,7,-1,-1,46,50,149,223,-1,-1,61,77
Malta,Europe,2,-1,14,13,75,79,8,8793,74,27,11,11
Marshall Islands,Oceania,4,27,-1,-1,59,63,26,1649,77,30,6,10
Martinique,America,2,-1,-1,-1,74,80,7,12717,66,54,8,6
Mauritania,Africa,5,3,-1,-1,52,55,92,401,-1,-1,50,74
Mauritius,Africa,2,75,-1,-1,68,75,15,3508,80,39,13,21
Mexico,America,3,53,-1,-1,70,76,31,2700,84,37,8,13
Micronesia,Oceania,6,-1,-1,-1,64,69,20,2104,65,33,15,22
Moldova,Europe,2,22,-1,-1,64,72,26,383,75,62,1,5
Monaco,Europe,-1,-1,-1,-1,-1,-1,-1,26470,-1,-1,-1,-1
Mongolia,Asia,3,61,6,8,64,67,52,388,-1,-1,11,23
Morocco,Africa,3,50,-1,-1,65,69,51,1265,75,25,43,69
Mozambique,Africa,6,-1,4,3,46,48,110,77,88,87,42,77
Myanmar,Asia,3,17,-1,-1,59,62,78,2399,74,39,11,22
Namibia,Africa,5,29,-1,-1,55,57,60,2059,69,49,18,25
Nepal,Asia,5,29,-1,-1,58,57,82,203,80,49,59,86
Netherlands,Europe,2,78,16,15,75,81,6,25635,81,60,-1,-1
Netherlands Antilles,America,2,-1,-1,-1,73,79,10,9039,70,51,5,6
New Caledonia,Oceania,3,25,-1,-1,71,76,18,19450,81,50,5,8
New Zealand,Oceania,2,69,16,17,75,80,7,16866,74,56,-1,-1
Nicaragua,America,4,49,9,9,66,71,44,464,85,33,35,33
Niger,Africa,7,4,-1,-1,47,50,114,207,-1,-1,79,93
Nigeria,Africa,6,6,-1,-1,51,54,77,587,78,37,33,53
Northern Mariana Islands,Oceania,5,-1,-1,-1,-1,-1,2,-1,88,76,1,1
Norway,Europe,2,76,15,15,75,81,5,33734,77,66,-1,-1
Oman,Asia,7,9,9,8,69,73,25,6232,84,16,-1,-1
Pakistan,Asia,5,18,-1,-1,63,65,74,504,82,13,50,76
Palau,Oceania,3,-1,-1,-1,65,69,25,6417,72,53,1,3
Panama,America,3,64,-1,-1,72,76,21,2934,81,43,9,10
Papua New Guinea,Asia,5,-1,-1,-1,57,59,61,1083,-1,-1,19,37
Paraguay,America,4,56,9,9,68,72,39,1860,86,26,7,9
Peru,America,3,64,13,12,66,71,45,2497,51,34,6,17
Philippines,Asia,4,40,11,11,67,70,35,1093,83,49,5,6
Poland,Europe,2,-1,13,13,67,76,13,3058,66,51,0,0
Portugal,Europe,1,66,14,15,72,79,8,10428,67,49,8,13
Puerto Rico,America,2,64,-1,-1,73,81,9,12213,64,35,8,10
Qatar,Asia,4,32,11,12,70,75,17,14013,93,28,21,20
Reunion,Africa,2,67,-1,-1,71,80,7,11854,63,42,22,20
Romania,Europe,1,57,12,11,66,73,24,1570,73,57,1,3
Russia,Europe,1,32,-1,-1,58,72,19,2451,68,50,0,1
Rwanda,Africa,6,21,-1,-1,41,43,125,238,-1,-1,30,48
Saint Kitts,America,3,41,-1,-1,67,70,25,4819,-1,-1,3,2
Saint Lucia,America,4,47,-1,-1,68,75,18,3183,79,49,-1,-1
Samoa,Oceania,4,34,11,12,68,71,58,1106,77,40,2,2
San Marino,Europe,-1,-1,-1,-1,73,79,-1,19121,76,55,-1,-1
Sao Tome,Africa,-1,-1,-1,-1,-1,-1,51,49,77,37,24,54
Saudi Arabia,Asia,6,-1,9,8,70,73,23,6583,79,7,29,50
Senegal,Africa,6,13,-1,-1,50,52,62,572,83,24,57,77
Seychelles,Africa,3,-1,-1,-1,65,74,12,7272,79,57,15,15
Sierra Leone,Africa,6,-1,-1,-1,36,39,169,293,80,76,55,82
Singapore,Asia,2,74,-1,-1,75,80,5,25581,79,52,4,14
Slovakia,Europe,2,74,-1,-1,67,76,12,3266,68,51,-1,-1
Slovenia,Europe,1,-1,-1,-1,69,78,7,9652,65,51,0,0
Solomon Islands,Oceania,5,-1,-1,-1,70,74,23,686,87,85,-1,-1
Somalia,Africa,7,-1,-1,-1,47,51,112,119,-1,-1,-1,-1
South Africa,Africa,4,50,13,13,62,68,48,3230,80,50,18,18
Spain,Europe,1,59,15,16,75,82,7,14111,63,37,2,4
Sri Lanka,Asia,2,66,-1,-1,71,75,15,716,76,36,7,13
St Vincent,America,4,58,-1,-1,-1,-1,19,2305,81,44,-1,-1
Sudan,Africa,5,8,-1,-1,54,56,71,36,75,26,42,65
Suriname,America,2,-1,-1,-1,69,74,24,967,64,33,5,9
Swaziland,Africa,4,20,12,11,58,62,65,1389,64,28,22,24
Sweden,Europe,2,78,14,15,76,81,5,26253,80,76,-1,-1
Switzerland,Europe,1,71,15,14,75,82,5,42416,79,57,-1,-1
Syria,Asia,4,36,10,9,67,71,33,3573,-1,-1,14,44
Tajikistan,Asia,4,21,-1,-1,64,70,56,122,75,60,0,0
Tanzania,Africa,5,18,-1,-1,50,53,80,139,-1,-1,21,43
Thailand,Asia,2,74,-1,-1,66,72,30,2896,84,65,4,8
Togo,Africa,6,12,-1,-1,49,52,86,322,78,51,33,63
Tonga,Oceania,4,74,-1,-1,67,71,3,1787,74,45,0,1
Trinidad and Tobago,America,2,53,10,11,72,76,14,4083,76,45,1,3
Tunisia,Africa,3,60,-1,-1,68,71,37,2030,75,20,21,45
Turkey,Asia,3,63,11,9,67,72,44,2814,76,31,8,28
Turkmenistan,Asia,4,20,-1,-1,61,68,57,321,78,62,0,0
Tuvalu,Oceania,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Uganda,Africa,7,15,-1,-1,40,42,113,305,-1,-1,26,50
Ukraine,Europe,1,23,-1,-1,64,74,18,694,69,57,0,2
United Arab Emirates,Asia,3,-1,10,10,74,77,15,17690,93,24,21,20
United Kingdom,Europe,2,82,16,17,75,80,6,18913,72,54,-1,-1
United States,America,2,71,15,16,73,80,7,26037,75,59,2,2
Uruguay,America,2,-1,-1,-1,70,76,17,5602,74,47,3,2
Uzbekistan,Asia,3,56,-1,-1,64,71,43,435,75,61,0,0
Vanuatu,Oceania,4,15,-1,-1,66,70,38,1289,89,79,35,46
Venezuela,America,3,52,10,11,70,76,21,3496,82,41,8,10
Viet Nam,Asia,3,65,-1,-1,65,70,37,270,82,74,4,9
Virgin Islands,America,3,-1,-1,-1,-1,-1,12,-1,72,60,-1,-1
Western Sahara,Africa,4,-1,-1,-1,60,63,64,-1,-1,-1,-1,-1
Yemen,Asia,8,7,-1,-1,57,58,80,732,81,2,32,70
Yugoslavia,Europe,2,-1,-1,-1,70,75,19,1487,-1,-1,2,9
Zambia,Africa,5,25,8,7,42,44,103,382,-1,-1,14,29
Zimbabwe,Africa,5,48,-1,-1,48,49,68,786,78,47,10,20
